Size	   Bubble Sort	Selection Sort	Insertion Sort
50	119487.24	35987.555	39432.984
100	45137.684	14077.375	92319.28
150	91346.06	31941.355	40607.19
200	105221.96	39357.613	23637.404
250	173752.2	64379.273	37917.016
300	247466.56	93396.1	56122.887
350	319381.97	118022.77	71460.57
400	392213.16	142939.3	85766.66
450	505370.97	182705.6	112057.32
500	643442.5	235144.3	146544.16
550	867147.1	324133.1	197000.48
600	901675.1	331645.28	201908.88
650	1047430.8	377272.8	226931.22
700	1196209.5	434286.7	259460.22
750	1379657.5	484436.16	295621.47
800	1529145.9	545378.8	326287.56
850	1728521.8	610430.94	364081.53
900	1887082.8	678351.7	406698.53
950	2098939.0	744440.56	445723.75
1000	2346669.8	824837.06	503262.97
